GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Below 100 percent of the poverty level,Margin of Error; Total: - Below 100 percent of the poverty level,Estimate; Total: - 100 to 149 percent of the poverty level,Margin of Error; Total: - 100 to 149 percent of the poverty level,Estimate; Total: - At or above 150 percent of the poverty level,Margin of Error; Total: - At or above 150 percent of the poverty level,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Below 100 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - Below 100 percent of the poverty level,Estimate; Total: - Same house 1 year ago: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - 100 to 149 percent of the poverty level,Estimate; Total: - Same house 1 year ago: - At or above 150 percent of the poverty level,Margin of Error; Total: - Same house 1 year ago: - At or above 150 percent of the poverty level,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved within same county: - Below 100 percent of the poverty level,Estimate; Total: - Moved within same county: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved within same county: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved within same county: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved within same county: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - Below 100 percent of the poverty level,Estimate; Total: - Moved from different county within same state: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from different county within same state: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from different county within same state: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from different state: - Below 100 percent of the poverty level,Estimate; Total: - Moved from different state: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from different state: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from different state: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from different state: - At or above 150 percent of the poverty level,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Below 100 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - Below 100 percent of the poverty level,Estimate; Total: - Moved from abroad: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - 100 to 149 percent of the poverty level,Estimate; Total: - Moved from abroad: - At or above 150 percent of the poverty level,Margin of Error; Total: - Moved from abroad: - At or above 150 percent of the poverty level
8600000US61486,61486,ZCTA5 61486,1577,247,230,182,46,27,1301,205,1462,241,212,183,42,27,1208,196,56,61,6,11,4,6,46,60,54,44,7,10,0,11,47,43,5,7,5,7,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61488,61488,ZCTA5 61488,1222,195,226,106,94,46,902,157,1166,196,209,105,77,41,880,156,32,25,15,14,8,15,9,11,19,16,2,4,9,9,8,9,3,4,0,11,0,11,3,4,2,3,0,11,0,11,2,3
8600000US61489,61489,ZCTA5 61489,831,128,62,36,60,29,709,117,763,124,48,34,47,30,668,116,51,38,14,16,13,19,24,19,15,19,0,11,0,11,15,19,2,3,0,11,0,11,2,3,0,11,0,11,0,11,0,11
8600000US61490,61490,ZCTA5 61490,1199,168,135,80,64,43,1000,147,1032,152,107,60,41,26,884,137,39,24,0,11,9,11,30,23,98,70,26,42,13,20,59,58,30,38,2,4,1,4,27,38,0,11,0,11,0,11,0,11
8600000US61491,61491,ZCTA5 61491,2139,192,211,71,190,91,1738,205,1937,206,168,64,141,75,1628,199,125,80,32,33,40,53,53,33,55,59,0,11,0,11,55,59,22,23,11,17,9,15,2,5,0,11,0,11,0,11,0,11
8600000US61501,61501,ZCTA5 61501,1914,177,158,51,220,84,1536,170,1689,180,145,49,192,78,1352,164,116,60,13,14,21,23,82,54,95,67,0,11,7,10,88,65,14,19,0,11,0,11,14,19,0,11,0,11,0,11,0,11
8600000US61516,61516,ZCTA5 61516,682,116,49,40,66,43,567,114,612,112,25,24,33,23,554,112,66,61,24,31,33,43,9,11,4,7,0,11,0,11,4,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61517,61517,ZCTA5 61517,2987,362,210,115,129,84,2648,354,2722,366,201,114,117,77,2404,351,242,152,9,14,12,17,221,149,15,13,0,11,0,11,15,13,8,7,0,11,0,11,8,7,0,11,0,11,0,11,0,11
8600000US61519,61519,ZCTA5 61519,249,93,70,45,12,12,167,63,240,93,63,45,12,12,165,62,2,4,0,11,0,11,2,4,7,10,7,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61520,61520,ZCTA5 61520,15417,418,2928,634,1749,526,10740,741,12689,619,1914,516,1293,406,9482,771,1895,474,579,331,366,206,950,328,706,268,400,210,67,79,239,100,109,78,23,35,23,35,63,63,18,22,12,19,0,18,6,9
8600000US61523,61523,ZCTA5 61523,10923,429,799,341,1209,576,8915,549,10340,440,772,340,1137,568,8431,540,369,158,1,2,23,25,345,149,99,53,15,21,11,19,73,52,106,75,11,17,38,46,57,57,9,13,0,18,0,18,9,13
8600000US61524,61524,ZCTA5 61524,194,67,31,21,16,20,147,61,157,53,23,18,16,20,118,49,37,40,8,13,0,11,29,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61525,61525,ZCTA5 61525,8750,488,79,66,181,98,8490,518,7761,469,69,67,165,96,7527,489,190,109,7,8,6,8,177,110,313,185,3,5,10,17,300,184,272,192,0,16,0,16,272,192,214,263,0,16,0,16,214,263
8600000US61526,61526,ZCTA5 61526,1056,279,0,11,0,11,1056,279,1010,278,0,11,0,11,1010,278,0,11,0,11,0,11,0,11,46,44,0,11,0,11,46,44,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61528,61528,ZCTA5 61528,2144,314,56,50,113,87,1975,322,1999,313,38,44,113,87,1848,317,91,83,17,28,0,11,74,78,1,3,1,3,0,11,0,11,38,34,0,11,0,11,38,34,15,24,0,11,0,11,15,24
8600000US61529,61529,ZCTA5 61529,2974,216,73,58,348,201,2553,263,2695,268,66,57,208,151,2421,268,265,166,7,9,130,142,128,102,10,16,0,11,10,16,0,11,4,8,0,11,0,11,4,8,0,11,0,11,0,11,0,11
8600000US61530,61530,ZCTA5 61530,5813,364,857,354,525,340,4431,570,4974,483,696,321,262,130,4016,526,427,363,15,26,263,326,149,152,373,238,146,146,0,16,227,189,28,36,0,16,0,16,28,36,11,18,0,16,0,16,11,18
8600000US61531,61531,ZCTA5 61531,3227,141,411,190,409,172,2407,276,2877,202,246,122,391,167,2240,275,259,169,153,151,18,24,88,81,78,74,12,15,0,11,66,72,8,9,0,11,0,11,8,9,5,8,0,11,0,11,5,8
8600000US61532,61532,ZCTA5 61532,607,168,48,48,50,53,509,165,525,163,9,11,50,53,466,159,62,52,19,25,0,11,43,43,20,30,20,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61533,61533,ZCTA5 61533,2256,154,178,94,131,61,1947,193,2112,192,110,70,131,61,1871,211,107,77,64,65,0,11,43,29,37,25,4,6,0,11,33,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61534,61534,ZCTA5 61534,1627,215,122,77,39,27,1466,195,1523,204,71,51,37,27,1415,195,72,58,42,53,2,3,28,23,30,23,9,13,0,11,21,19,2,3,0,11,0,11,2,3,0,11,0,11,0,11,0,11
8600000US61535,61535,ZCTA5 61535,1527,285,22,26,56,44,1449,291,1426,290,22,26,56,44,1348,296,41,46,0,11,0,11,41,46,20,33,0,11,0,11,20,33,40,64,0,11,0,11,40,64,0,11,0,11,0,11,0,11
8600000US61536,61536,ZCTA5 61536,2853,187,75,41,168,91,2610,219,2680,195,41,25,156,89,2483,225,115,59,27,32,3,5,85,49,54,45,3,8,9,16,42,35,4,6,4,6,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61537,61537,ZCTA5 61537,2919,194,401,212,293,97,2225,175,2605,208,352,207,245,98,2008,162,237,115,49,38,37,34,151,100,67,48,0,11,11,19,56,41,10,11,0,11,0,11,10,11,0,11,0,11,0,11,0,11
8600000US61539,61539,ZCTA5 61539,196,55,19,12,9,11,168,56,184,54,19,12,9,11,156,55,4,7,0,11,0,11,4,7,5,5,0,11,0,11,5,5,3,4,0,11,0,11,3,4,0,11,0,11,0,11,0,11
8600000US61540,61540,ZCTA5 61540,2756,193,254,114,112,68,2390,210,2454,151,218,113,102,67,2134,163,200,120,35,42,6,8,159,112,99,84,0,11,4,6,95,84,2,4,0,11,0,11,2,4,1,3,1,3,0,11,0,11
8600000US61541,61541,ZCTA5 61541,117,32,20,13,7,7,90,29,112,33,15,11,7,7,90,29,5,8,5,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61542,61542,ZCTA5 61542,3736,198,396,156,422,184,2918,318,3475,235,332,154,401,184,2742,308,158,72,43,41,21,21,94,54,55,45,21,26,0,11,34,39,48,42,0,11,0,11,48,42,0,11,0,11,0,11,0,11
8600000US61543,61543,ZCTA5 61543,112,52,31,33,3,4,78,36,82,35,14,16,3,4,65,32,9,16,0,11,0,11,9,16,17,31,17,31,0,11,0,11,0,11,0,11,0,11,0,11,4,7,0,11,0,11,4,7
8600000US61544,61544,ZCTA5 61544,747,176,209,158,41,23,497,97,629,122,105,75,41,23,483,95,111,130,102,130,0,11,9,14,3,3,2,3,0,11,1,2,4,6,0,11,0,11,4,6,0,11,0,11,0,11,0,11
8600000US61545,61545,ZCTA5 61545,798,381,13,15,290,380,495,127,775,381,5,8,285,380,485,126,5,7,0,11,5,7,0,11,18,20,8,12,0,11,10,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61546,61546,ZCTA5 61546,4603,356,261,89,400,163,3942,350,4094,356,160,72,321,127,3613,343,186,86,38,35,8,14,140,79,281,130,38,44,71,87,172,97,39,39,25,35,0,11,14,16,3,4,0,11,0,11,3,4
8600000US61547,61547,ZCTA5 61547,3751,315,156,88,50,33,3545,312,3371,306,138,85,40,30,3193,298,276,127,0,11,10,14,266,126,58,37,10,12,0,11,48,32,38,57,0,11,0,11,38,57,8,12,8,12,0,11,0,11
8600000US61548,61548,ZCTA5 61548,11570,267,348,144,352,130,10870,311,10549,405,308,132,261,122,9980,426,287,158,1,3,5,9,281,155,583,280,39,52,61,52,483,271,151,125,0,18,25,33,126,120,0,18,0,18,0,18,0,18
8600000US61550,61550,ZCTA5 61550,17090,271,908,358,668,241,15514,502,15453,435,751,358,433,139,14269,546,910,268,63,53,38,35,809,266,424,188,67,75,103,128,254,108,296,142,27,22,94,135,175,74,7,11,0,18,0,18,7,11
8600000US61552,61552,ZCTA5 61552,195,126,46,84,38,60,111,63,132,75,0,11,30,48,102,62,63,102,46,84,8,13,9,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61553,61553,ZCTA5 61553,258,96,7,10,35,38,216,92,236,95,7,10,35,38,194,91,20,19,0,11,0,11,20,19,2,3,0,11,0,11,2,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US61554,61554,ZCTA5 61554,41107,574,4967,763,3583,685,32557,992,36056,855,3555,599,2622,536,29879,963,3455,610,1175,424,443,229,1837,345,1247,488,147,77,429,402,671,248,339,151,80,63,89,86,170,111,10,17,10,17,0,24,0,24
