GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - One or more health insurance items imputed,Estimate; Total: - No health insurance items imputed
8600000US61019,61019,ZCTA5 61019,3585,457,3128
8600000US61020,61020,ZCTA5 61020,3205,262,2943
8600000US61021,61021,ZCTA5 61021,20644,2437,18207
8600000US61024,61024,ZCTA5 61024,2220,325,1895
8600000US61025,61025,ZCTA5 61025,4683,708,3975
8600000US61027,61027,ZCTA5 61027,7,7,0
8600000US61028,61028,ZCTA5 61028,2087,356,1731
8600000US61030,61030,ZCTA5 61030,2453,196,2257
8600000US61031,61031,ZCTA5 61031,1617,198,1419
8600000US61032,61032,ZCTA5 61032,30089,4060,26029
8600000US61036,61036,ZCTA5 61036,6528,1012,5516
8600000US61037,61037,ZCTA5 61037,285,0,285
8600000US61038,61038,ZCTA5 61038,1003,108,895
8600000US61039,61039,ZCTA5 61039,904,85,819
8600000US61041,61041,ZCTA5 61041,1027,138,889
8600000US61042,61042,ZCTA5 61042,471,38,433
8600000US61043,61043,ZCTA5 61043,94,8,86
8600000US61044,61044,ZCTA5 61044,196,36,160
8600000US61046,61046,ZCTA5 61046,2764,395,2369
8600000US61047,61047,ZCTA5 61047,1735,190,1545
8600000US61048,61048,ZCTA5 61048,4034,550,3484
8600000US61049,61049,ZCTA5 61049,557,37,520
8600000US61050,61050,ZCTA5 61050,482,53,429
8600000US61051,61051,ZCTA5 61051,1576,169,1407
8600000US61052,61052,ZCTA5 61052,888,132,756
8600000US61053,61053,ZCTA5 61053,2810,358,2452
8600000US61054,61054,ZCTA5 61054,3774,485,3289
8600000US61057,61057,ZCTA5 61057,153,31,122
8600000US61059,61059,ZCTA5 61059,190,4,186
8600000US61060,61060,ZCTA5 61060,1503,140,1363
8600000US61061,61061,ZCTA5 61061,6405,1181,5224
8600000US61062,61062,ZCTA5 61062,2021,283,1738
