,zip_code,year,Alley Lights Out,Alley Lights Out_completion_rate,Tree Debris,Tree Debris_completion_rate,Abandoned Vehicles,Abandoned Vehicles_completion_rate,Garbage Carts,Garbage Carts_completion_rate,Graffiti Removal,Graffiti Removal_completion_rate,Rodent Baiting,Rodent Baiting_completion_rate,Tree Trims,Tree Trims_completion_rate,Sanitation Code Complaints,Sanitation Code Complaints_completion_rate,Street Lights - All Out,Street Lights - All Out_completion_rate,Street Lights - One Out,Street Lights - One Out_completion_rate
140,60616,2013,132.0,1.0,135.0,1.0,297.0,1.0,470.0,1.0,2022.0,1.0,311.0,1.0,1754.0,1.0,161.0,1.0,731.0,1.0,313.0,1.0
141,60616,2014,150.0,1.0,66.0,1.0,383.0,1.0,325.0,1.0,1952.0,1.0,253.0,1.0,1197.0,0.9991645781119465,186.0,1.0,398.0,1.0,812.0,1.0
142,60616,2015,284.0,1.0,56.0,1.0,396.0,1.0,315.0,1.0,1572.0,1.0,409.0,1.0,514.0,0.9902723735408561,259.0,1.0,259.0,1.0,1041.0,1.0
143,60616,2016,274.0,1.0,120.0,1.0,447.0,1.0,324.0,1.0,1475.0,1.0,521.0,1.0,463.0,0.9978401727861771,218.0,1.0,318.0,1.0,1385.0,1.0
144,60616,2017,281.0,0.9501779359430605,81.0,1.0,483.0,1.0,301.0,1.0,1459.0,1.0,467.0,1.0,481.0,0.9958419958419958,214.0,1.0,257.0,0.9961089494163424,1209.0,0.9991728701406121
147,60617,2010,155.0,1.0,7.0,1.0,40.0,1.0,213.0,1.0,0.0,0.0,2.0,1.0,926.0,1.0,3.0,1.0,51.0,1.0,101.0,1.0
148,60617,2011,3307.0,1.0,1220.0,1.0,736.0,1.0,2176.0,1.0,3716.0,1.0,437.0,1.0,1664.0,1.0,709.0,1.0,6738.0,1.0,2137.0,1.0
149,60617,2012,1169.0,1.0,1561.0,1.0,708.0,1.0,2327.0,1.0,4088.0,1.0,474.0,1.0,2118.0,1.0,870.0,1.0,4808.0,1.0,1691.0,1.0
150,60617,2013,924.0,1.0,1771.0,1.0,573.0,1.0,2090.0,1.0,2927.0,1.0,372.0,1.0,2705.0,1.0,721.0,1.0,3575.0,1.0,1270.0,1.0
151,60617,2014,1481.0,1.0,1780.0,1.0,683.0,1.0,1862.0,1.0,2271.0,1.0,285.0,1.0,2979.0,0.9996643168848607,631.0,1.0,2022.0,1.0,4701.0,1.0
152,60617,2015,1346.0,1.0,1236.0,1.0,736.0,1.0,2222.0,1.0,2131.0,1.0,426.0,1.0,1884.0,0.9930997876857749,721.0,1.0,1290.0,1.0,6815.0,1.0
153,60617,2016,1742.0,1.0,1220.0,1.0,912.0,1.0,2391.0,1.0,1917.0,1.0,671.0,1.0,2001.0,0.9940029985007496,752.0,1.0,994.0,1.0,4952.0,1.0
154,60617,2017,1513.0,0.9471249173826835,1052.0,0.9990494296577946,901.0,1.0,2281.0,1.0,1589.0,1.0,776.0,1.0,2021.0,0.9965363681345868,811.0,0.998766954377312,820.0,1.0,4010.0,0.9992518703241895
156,60618,2010,42.0,1.0,1.0,1.0,44.0,1.0,91.0,1.0,0.0,0.0,5.0,1.0,663.0,1.0,4.0,1.0,15.0,1.0,33.0,1.0
157,60618,2011,1384.0,1.0,449.0,1.0,1374.0,1.0,1113.0,1.0,7627.0,1.0,1669.0,1.0,1202.0,1.0,528.0,1.0,1742.0,1.0,1058.0,1.0
158,60618,2012,570.0,1.0,302.0,1.0,1101.0,1.0,1370.0,1.0,8826.0,1.0,2436.0,1.0,1351.0,1.0,583.0,1.0,1156.0,1.0,750.0,1.0
159,60618,2013,364.0,1.0,486.0,1.0,1130.0,1.0,1738.0,1.0,10763.0,1.0,2350.0,1.0,1588.0,1.0,632.0,1.0,1338.0,1.0,528.0,1.0
160,60618,2014,466.0,1.0,362.0,1.0,1186.0,1.0,1487.0,1.0,9349.0,1.0,2839.0,1.0,1586.0,1.0,947.0,1.0,586.0,1.0,1155.0,1.0
161,60618,2015,751.0,1.0,359.0,1.0,1350.0,1.0,1641.0,1.0,9838.0,1.0,2027.0,1.0,1672.0,0.9898325358851675,895.0,1.0,365.0,1.0,2045.0,1.0
162,60618,2016,1142.0,1.0,402.0,1.0,1618.0,1.0,2316.0,1.0,10186.0,1.0,2477.0,1.0,1683.0,0.9994058229352347,871.0,1.0,315.0,1.0,2248.0,1.0
163,60618,2017,621.0,0.9774557165861514,408.0,1.0,1392.0,1.0,1972.0,1.0,8858.0,1.0,2552.0,1.0,1438.0,0.9965229485396384,823.0,0.9927095990279465,275.0,1.0,1772.0,1.0
